trial,alpha,stoptime,gflag_idx,alg
5,0.1,3343,103,bonf
5,0.1,1516,103,innerprod
5,0.1,1471,14,avg
6,0.01,703,46,unif
6,0.01,232,46,max
6,0.01,1786,103,bonf
6,0.01,2337,103,innerprod
6,0.01,1441,103,avg
6,0.020000000000000004,567,46,unif
6,0.020000000000000004,221,46,max
6,0.020000000000000004,1538,103,bonf
6,0.020000000000000004,2057,103,innerprod
6,0.020000000000000004,1275,103,avg
6,0.030000000000000006,230,46,unif
6,0.030000000000000006,221,46,max
6,0.030000000000000006,1501,103,bonf
6,0.030000000000000006,1786,103,innerprod
6,0.030000000000000006,1260,46,avg
6,0.04000000000000001,221,46,unif
6,0.04000000000000001,201,46,max
6,0.04000000000000001,1486,103,bonf
6,0.04000000000000001,1780,103,innerprod
6,0.04000000000000001,726,46,avg
6,0.05000000000000001,472,46,unif
6,0.05000000000000001,201,46,max
6,0.05000000000000001,1481,103,bonf
6,0.05000000000000001,1744,103,innerprod
6,0.05000000000000001,726,46,avg
6,0.06000000000000001,252,46,unif
6,0.06000000000000001,198,46,max
6,0.06000000000000001,1477,103,bonf
6,0.06000000000000001,1727,103,innerprod
6,0.06000000000000001,726,46,avg
6,0.07,362,46,unif
6,0.07,198,46,max
6,0.07,1474,103,bonf
6,0.07,1533,103,innerprod
6,0.07,498,46,avg
6,0.08,470,46,unif
6,0.08,198,46,max
6,0.08,1474,103,bonf
6,0.08,1509,103,innerprod
6,0.08,498,46,avg
6,0.09000000000000001,270,46,unif
6,0.09000000000000001,198,46,max
6,0.09000000000000001,1474,103,bonf
6,0.09000000000000001,1501,103,innerprod
6,0.09000000000000001,498,46,avg
6,0.1,270,46,unif
6,0.1,196,46,max
6,0.1,1474,103,bonf
6,0.1,1481,103,innerprod
6,0.1,498,46,avg
7,0.01,455,79,unif
7,0.01,427,79,max
7,0.01,4711,103,bonf
7,0.01,2517,103,innerprod
7,0.01,2004,51,avg
7,0.020000000000000004,439,103,unif
7,0.020000000000000004,407,79,max
7,0.020000000000000004,4162,103,bonf
7,0.020000000000000004,2176,103,innerprod
7,0.020000000000000004,917,79,avg
7,0.030000000000000006,643,79,unif
7,0.030000000000000006,394,79,max
7,0.030000000000000006,4152,103,bonf
7,0.030000000000000006,2037,103,innerprod
7,0.030000000000000006,917,79,avg
7,0.04000000000000001,994,79,unif
7,0.04000000000000001,394,79,max
7,0.04000000000000001,3651,103,bonf
7,0.04000000000000001,2001,103,innerprod
7,0.04000000000000001,902,79,avg
7,0.05000000000000001,408,103,unif
7,0.05000000000000001,392,79,max
7,0.05000000000000001,3413,103,bonf
7,0.05000000000000001,1980,103,innerprod
7,0.05000000000000001,902,79,avg
7,0.06000000000000001,464,103,unif
7,0.06000000000000001,381,103,max
7,0.06000000000000001,3330,103,bonf
7,0.06000000000000001,1869,103,innerprod
7,0.06000000000000001,902,79,avg
7,0.07,429,103,unif
7,0.07,381,103,max
7,0.07,3328,103,bonf
7,0.07,1852,103,innerprod
7,0.07,902,79,avg
7,0.08,471,28,unif
7,0.08,381,103,max
7,0.08,3328,103,bonf
7,0.08,1830,103,innerprod
7,0.08,441,103,avg
7,0.09000000000000001,531,79,unif
7,0.09000000000000001,381,103,max
7,0.09000000000000001,3326,103,bonf
7,0.09000000000000001,1683,103,innerprod
7,0.09000000000000001,441,103,avg
7,0.1,401,103,unif
7,0.1,381,103,max
